Participant_ID,Male_1,Trial_Number,Money_Transfered,RT_Investment,RT_Evaluation,RT_Feedback,Eval,Fair,Happy,Amount_Returned,Payback_Shuffle,Order_Shuffle,Final_money_subj,Final_money_trustee,Eval_self,RT_eval_self,Eval_other,RT_eval_other,group
1,1,52,2,1.3388233,0.4343332,1.6087097,2,1,0,3,49,3,10,3,0,0,0,0,case
1,1,53,2,0.2240087,0.4383678,1.5061997,2,1,0,2,25,3,9,4,0,0,0,0,case
1,1,54,2,0.4389182,0.4064148,1.7168047,2,1,0,1,23,3,8,5,0,0,0,0,case
1,1,55,2,0.4500839,0.4472368,1.5352923,2,1,0,2,32,3,9,4,0,0,0,0,case
1,1,56,2,0.3069059,0.3847858,2.2515846,2,1,0,2,34,3,9,4,0,0,0,0,case
1,1,57,2,0.3778783,0.4425761,1.5058939,2,1,0,3,47,3,10,3,0,0,0,0,case
1,1,58,2,0.874402,0.5238156,1.6131196,2,1,0,3,45,3,10,3,0,0,0,0,case
1,1,59,2,0.6241357,0.3778085,1.5104175,2,1,0,2,39,3,9,4,0,0,0,0,case
1,1,60,2,0.4281106,0.3414166,1.7010245,2,1,0,2,30,3,9,4,0,0,0,0,case
1,1,61,2,0.2203129,0.3586571,1.5970861,2,1,0,2,41,3,9,4,0,0,0,0,case
1,1,62,2,0.2913442,0.3953277,1.5054209,2,1,0,4,60,3,11,2,0,0,0,0,case
1,1,63,2,0.4647985,0.3633919,1.5054546,2,1,0,3,43,3,10,3,2,0.5080445,2,0.5313437,case
1,1,64,8,7.8389952,2.3181037,9.2810091,6,0,1,2,7,4,3,22,0,0,0,0,case
1,1,65,9,6.0773667,24.1122044,13.2633109,8,0,1,5,20,4,5,22,0,0,0,0,case
1,1,66,7,2.3862786,1.1173856,22.6673215,1,0,1,7,31,4,9,14,0,0,0,0,case
1,1,67,6,3.0262698,0.7929305,20.8365677,1,0,1,4,22,4,7,14,0,0,0,0,case
1,1,68,5,4.8671308,0.8074083,17.3426858,9,0,1,6,42,4,10,9,0,0,0,0,case
1,1,69,4,4.7310254,0.818758,19.512705,8,0,1,3,26,4,8,9,0,0,0,0,case
1,1,70,2,3.9545345,1.0458686,9.1790469,1,0,1,0,0,4,7,6,0,0,0,0,case
1,1,71,1,4.1121348,2.9075767,21.7080193,9,0,1,0,15,4,8,3,0,0,0,0,case
1,1,72,7,4.8169949,2.6959252,13.4025031,2,0,1,9,44,4,11,12,0,0,0,0,case
1,1,73,5,6.8262428,0.8225586,14.9313543,5,0,1,3,18,4,7,12,0,0,0,0,case
1,1,74,8,10.3963518,0.7167414,18.6090546,1,0,1,0,2,4,1,24,0,0,0,0,case
1,1,75,2,3.7146463,3.1319278,14.99602,5,0,1,2,35,4,9,4,0,0,0,0,case
1,1,76,9,4.0614862,0.8055944,38.9150129,3,0,1,3,11,4,3,24,0,0,0,0,case
1,1,77,4,16.812891,0.7293397,9.7640212,1,0,1,0,4,4,5,12,0,0,0,0,case
1,1,78,2,5.0312943,1.1329113,17.7665284,3,0,1,1,24,4,8,5,0,0,0,0,case
1,1,79,7,4.7745033,0.8072589,15.2123784,6,0,1,8,37,4,10,13,0,0,0,0,case
1,1,80,1,9.5220494,4.8164261,17.7901136,1,0,1,0,9,4,8,3,0,0,0,0,case
1,1,81,9,5.6151015,0.8069163,21.0426338,5,0,1,4,13,4,4,23,0,0,0,0,case
1,1,82,7,17.097405,2.0486577,11.6309134,2,0,1,6,28,4,8,15,0,0,0,0,case
1,1,83,4,2.3689592,1.2304539,7.0662944,9,0,1,4,33,4,9,8,0,0,0,0,case
1,1,84,8,2.3050762,1.3028101,7.3117678,2,0,1,9,39,4,10,15,7,3.1305827,3,8.9715114,case
2,1,1,3,40.5345251,57.2365857,34.9347697,9,1,1,3,32,1,9,6,0,0,0,0,case
2,1,2,7,12.7425749,616.984385,12.4087198,1,1,1,5,25,1,7,16,0,0,0,0,case
2,1,3,5,18.2655872,10.7466403,51.8369965,9,1,1,8,54,1,12,7,0,0,0,0,case
2,1,4,6,13.670612,11.9330386,20.8799944,7,1,1,8,43,1,11,10,0,0,0,0,case
2,1,5,4,9.9891692,10.1498298,5.1952862,7,1,1,4,34,1,9,8,0,0,0,0,case
2,1,6,5,18.6744105,3.089458,7.8505009,8,1,1,8,56,1,12,7,0,0,0,0,case
2,1,7,9,19.8235963,2.9989018,6.2294989,9,1,1,13,49,1,13,14,0,0,0,0,case
2,1,8,7,9.9724786,2.1107748,8.4378953,7,1,1,8,36,1,10,13,0,0,0,0,case
2,1,9,5,15.2763246,7.4341373,8.3580489,8,1,1,5,30,1,9,10,0,0,0,0,case
2,1,10,3,10.1856736,2.5527261,4.7688074,9,1,1,6,65,1,12,3,0,0,0,0,case
2,1,11,7,12.1066704,1.2828582,34.2226928,9,1,1,13,60,1,15,8,0,0,0,0,case
2,1,12,4,3.7427335,2.9390653,6.4827702,7,1,1,6,52,1,11,6,0,0,0,0,case
2,1,13,2,3.2330471,7.5310628,4.6438879,4,1,1,1,21,1,8,5,0,0,0,0,case
2,1,14,6,6.7769717,7.3705284,4.4478792,6,1,1,4,23,1,7,14,0,0,0,0,case
2,1,15,5,4.4260314,12.9145918,4.291895,4,1,1,4,28,1,8,11,0,0,0,0,case
2,1,16,6,5.792831,2.5307195,2.2316203,9,1,1,10,58,1,13,8,0,0,0,0,case
2,1,17,8,4.1760432,2.5624722,3.8841814,8,1,1,11,47,1,12,13,0,0,0,0,case
2,1,18,3,3.6415215,9.6830003,2.8712165,6,1,1,4,39,1,10,5,0,0,0,0,case
2,1,19,9,5.5291514,1.6426483,4.786241,9,1,1,17,63,1,17,10,0,0,0,0,case
2,1,20,6,7.1283972,5.3226131,4.410611,7,1,1,7,41,1,10,11,0,0,0,0,case
2,1,21,6,5.4805898,3.7382377,4.4902155,7,1,1,8,45,1,11,10,7,58.9244004,7,36.2747355,case
2,1,22,9,20.1042536,11.9543272,4.5594453,5,0,0,6,22,2,6,21,0,0,0,0,case
2,1,23,5,2.188641,2.9767928,4.2244991,8,0,0,6,39,2,10,9,0,0,0,0,case
2,1,24,7,6.3060669,15.2728944,5.9873075,2,0,0,0,0,2,2,21,0,0,0,0,case
2,1,25,5,2.2616712,5.290264,3.1488289,4,0,0,4,26,2,8,11,0,0,0,0,case
2,1,26,4,3.9294814,3.8836506,4.9741643,3,0,0,3,28,2,8,9,0,0,0,0,case
2,1,27,3,4.1571471,3.3350147,3.7054525,4,0,0,2,18,2,8,7,0,0,0,0,case
2,1,28,7,2.5232039,4.8723024,4.6013874,4,0,0,5,24,2,7,16,0,0,0,0,case
